Name, Title, URL, Total Datasets, Harvest Job Count, Last Harvest Job Status, Errors (Last Job), Datasets Added (Last Job), Job URL, Job Created, Gather Started, Gather Finished, Job Finished 
"nos-nccos-waf","NOS NCCOS WAF","http://www.ncddc.noaa.gov/approved_recs/nos_de/nccos/","783","7","Finished","17","7","https://50.19.237.244/harvest/nos-nccos-waf/job/05f3c5ec-397f-4b1b-8d8d-77a3f941492d","2015-07-23 15:33:05.152811","2015-07-23 15:35:28.280036","2015-07-23 15:36:02.843540","2015-07-24 03:20:21.253944"
"nos-orr-waf","NOS ORR WAF","http://www.ncddc.noaa.gov/approved_recs/nos_de/orr/","617","7","Finished","77","0","https://50.19.237.244/harvest/nos-orr-waf/job/2ff868e2-042e-4956-b18d-794c006787f2","2015-07-23 15:33:05.333292","2015-07-23 15:35:18.818070","2015-07-23 15:35:28.150645","2015-07-24 03:19:26.193991"
"ngdc-nos-f00001-f02000-waf","NGDC NOS F00001-F02000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/F00001-F02000/iso/xml","619","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-f00001-f02000-waf/job/761114e3-e928-4a96-a1b5-2c7ba7c9590e","2015-07-23 15:33:05.513760","2015-07-23 15:35:17.475552","2015-07-23 15:35:18.811575","None"
"ngdc-nos-h12001-h14000-waf","NGDC NOS H12001-H14000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/H12001-H14000/iso/xml","527","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-h12001-h14000-waf/job/923b855b-c6b8-44ab-8a5b-7fff49293f7a","2015-07-23 15:33:05.695674","2015-07-23 15:35:16.156343","2015-07-23 15:35:17.467339","None"
"ngdc-nos-l02001-l04000-waf","NGDC NOS L02001-L04000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/L02001-L04000/iso/xml","424","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-l02001-l04000-waf/job/e95e8c57-2eaf-4a29-9e24-a7203ccff825","2015-07-23 15:33:05.873432","2015-07-23 15:35:15.038779","2015-07-23 15:35:16.147313","None"
"ncdc-iso-waf","NCDC ISO WAF","http://www1.ncdc.noaa.gov/pub/data/metadata/published/geoportal/iso/xml","316","7","Finished","0","0","https://50.19.237.244/harvest/ncdc-iso-waf/job/b28f119b-a028-4d9a-8fa9-6161791f94a1","2015-07-23 15:33:06.170472","2015-07-23 15:35:13.647399","2015-07-23 15:35:15.025209","2015-07-24 03:04:12.038242"
"ngdc-nos-b00001-b02000-waf","NGDC NOS B00001-B02000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/B00001-B02000/iso/xml","302","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-b00001-b02000-waf/job/d3a2bb08-1603-44a6-a8db-cd760fd270d9","2015-07-23 15:33:06.351696","2015-07-23 15:35:12.658009","2015-07-23 15:35:13.640159","None"
"ncddc-oer-waf","NCDDC OER WAF","http://www.ncddc.noaa.gov/oer-waf/ISO/Resolved/","304","7","Finished","20","2","https://50.19.237.244/harvest/ncddc-oer-waf/job/5b63444a-1b70-4636-8806-d19316d50063","2015-07-23 15:33:06.532043","2015-07-23 15:35:05.428170","2015-07-23 15:35:12.591055","2015-07-24 03:03:21.316602"
"nos-ngs-waf","NOS NGS WAF","http://www.ncddc.noaa.gov/approved_recs/nos_de/ngs/","324","7","Finished","0","0","https://50.19.237.244/harvest/nos-ngs-waf/job/bb760cf2-8d21-4ba0-85d0-11d9744c3a0e","2015-07-23 15:33:06.710937","2015-07-23 15:34:59.387962","2015-07-23 15:35:05.360434","None"
"ngdc-mgg-dem-waf","NGDC MGG DEM WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/DEM/iso/xml","241","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-mgg-dem-waf/job/14eaec81-0a51-4333-904d-31ddcd2a52ac","2015-07-23 15:33:06.881137","2015-07-23 15:34:58.726965","2015-07-23 15:34:59.377967","None"
"ngdc-nos-w00001-w02000-waf","NGDC NOS W00001-W02000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/W00001-W02000/iso/xml","247","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-w00001-w02000-waf/job/60c7a565-b166-4a85-a19a-c7c57e91c8fe","2015-07-23 15:33:07.066343","2015-07-23 15:34:57.891266","2015-07-23 15:34:58.720875","None"
"nos-nmsp-waf","NOS NMSP WAF","http://www.ncddc.noaa.gov/approved_recs/nos_de/nmsp/","195","7","Finished","1","0","https://50.19.237.244/harvest/nos-nmsp-waf/job/69bdec3f-22d7-4beb-a145-f5f17555c136","2015-07-23 15:33:07.238949","2015-07-23 15:34:53.400824","2015-07-23 15:34:57.850436","2015-07-24 02:40:31.471807"
"ncddc-ims-waf","NCDDC IMS WAF","http://www.ncddc.noaa.gov/approved_recs/ncddc_ims/","258","7","Finished","67","1","https://50.19.237.244/harvest/ncddc-ims-waf/job/a2f46c2a-b94e-4317-80bb-54c185c08703","2015-07-23 15:33:07.418119","2015-07-23 15:34:48.228136","2015-07-23 15:34:53.338357","2015-07-24 02:34:09.827593"
"nmfs-nwfsc","NMFS NWFSC","https://inport.nmfs.noaa.gov/inport-metadata/NOAA/NMFS/NWFSC/iso19115/xml/","331","7","Finished","0","0","https://50.19.237.244/harvest/nmfs-nwfsc/job/3f2b5e24-d70c-4396-a800-6fd978103019","2015-07-23 15:33:07.596926","2015-07-23 15:34:43.893201","2015-07-23 15:34:48.182077","None"
"ngdc-mgg-lidar-waf","NGDC MGG Lidar WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/Lidar/iso/xml","337","7","Finished","5","0","https://50.19.237.244/harvest/ngdc-mgg-lidar-waf/job/00abd6fa-bfba-4959-b277-6af3929d212b","2015-07-23 15:33:07.775577","2015-07-23 15:34:42.723672","2015-07-23 15:34:43.882849","2015-07-24 02:26:56.830159"
"ngdc-nos-d00001-d02000-waf","NGDC NOS D00001-D02000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/D00001-D02000/iso/xml","155","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-d00001-d02000-waf/job/54f58116-ac26-4827-a45d-1a7405c74ae7","2015-07-23 15:33:07.953357","2015-07-23 15:34:41.883526","2015-07-23 15:34:42.714717","None"
"ngdc-mgg-hazard-photos-waf","NGDC MGG Hazard Photos WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/Hazard_Photos/iso/xml","133","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-mgg-hazard-photos-waf/job/5eae923e-4ce7-44d5-a9fb-95456a7609a5","2015-07-23 15:33:08.110496","2015-07-23 15:34:41.277188","2015-07-23 15:34:41.866748","None"
"ngdc-mgg-geophysics-waf","NGDC MGG Geophysics WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/Geophysics/iso/xml","129","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-mgg-geophysics-waf/job/9b413bd7-b7ae-4659-8eb1-4e88c0e996f1","2015-07-23 15:33:08.239809","2015-07-23 15:34:40.378199","2015-07-23 15:34:41.262238","2015-07-24 02:26:54.590991"
"nmfs-afsc","NMFS AFSC","https://inport.nmfs.noaa.gov/inport-metadata/NOAA/NMFS/AFSC/iso19115/xml/","195","7","Finished","1","3","https://50.19.237.244/harvest/nmfs-afsc/job/f3d9f48e-0a93-485a-817d-cdacd65fa3de","2015-07-23 15:33:08.376436","2015-07-23 15:34:38.227450","2015-07-23 15:34:40.329722","2015-07-24 02:26:42.194181"
"nmfs-pifsc","NMFS PIFSC","https://inport.nmfs.noaa.gov/inport-metadata/NOAA/NMFS/PIFSC/iso19115/xml/","107","7","Finished","0","0","https://50.19.237.244/harvest/nmfs-pifsc/job/ed5a940c-82ab-4cd6-9893-22808a6371de","2015-07-23 15:33:08.556041","2015-07-23 15:34:36.624913","2015-07-23 15:34:38.207820","None"
"nmfs-sefsc","NMFS SEFSC","https://inport.nmfs.noaa.gov/inport-metadata/NOAA/NMFS/SEFSC/iso19115/xml/","22","7","Finished","0","0","https://50.19.237.244/harvest/nmfs-sefsc/job/abb3cf66-c66b-4923-8eef-78bc18784f67","2015-07-23 15:33:08.741363","2015-07-23 15:34:35.821880","2015-07-23 15:34:36.611810","2015-07-24 02:20:41.662106"
"nos-special-projects-waf","NOS Special Projects WAF","http://www.ncddc.noaa.gov/approved_recs/nos_de/special_projects/","75","7","Finished","0","0","https://50.19.237.244/harvest/nos-special-projects-waf/job/d33cec65-888f-423d-a05d-ce09098070e4","2015-07-23 15:33:08.931097","2015-07-23 15:34:32.855026","2015-07-23 15:34:35.800950","None"
"ngdc-mgg-sonar-water-column-waf","NGDC MGG Sonar Water Column WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/Sonar_Water_Column/iso/xml","142","7","Finished","8","0","https://50.19.237.244/harvest/ngdc-mgg-sonar-water-column-waf/job/2a873daa-49ce-47b1-86f3-c10ce7218125","2015-07-23 15:33:09.079847","2015-07-23 15:34:32.046151","2015-07-23 15:34:32.844995","2015-07-24 02:18:17.964481"
